id,label,x,y,cluster,weight<Links>
1,7-eleven,0.8334,-0.1889,14,182
2,ขวด,0.3372,-0.0929,5,342
3,ขาย,0.5414,-0.0783,14,370
4,ขายไม่ดี,0.9946,-0.1773,5,27
5,ซีพีเมจิ,0.6886,0.2446,4,300
6,นม,0.2558,0.0484,2,470
7,รสหวาน,0.3955,-0.0129,2,217
8,เบาหวาน,-0.1836,0.4655,3,172
9,หาซื้อไม่ได้,0.6353,-0.0446,17,44
10,กาแฟ,0.4434,0.2722,4,274
11,ช็อกโกแลต,0.536,-0.0303,5,261
12,ยี่ห้อ,0.2417,-0.0251,5,388
13,ไขมัน 0%,-0.2507,0.268,3,226
14,ไขมันต่ำ,-0.1142,0.0604,7,264
15,หมดอายุ,0.326,-0.6696,5,154
16,แนะนำ,0.1577,0.2813,4,352
17,เด็ก,0.1032,-0.1394,2,389
18,กลิ่น,0.373,-0.1635,4,313
19,กาแฟสด,0.8398,0.1578,4,77
20,ต้ม,0.3523,0.2128,13,214
21,นมสด,0.5362,0.209,2,347
22,รสชาติ,0.345,-0.0758,2,340
23,ส่วนผสม,0.2191,0.1293,11,273
24,การบูด,-0.335,-0.8561,9,33
25,สูง,-0.279,-0.054,7,370
26,แบคทีเรีย,-0.5464,0.0056,3,196
27,โปรตีน,-0.3785,0.4027,3,339
28,หวาน,0.4998,0.1053,2,335
29,หอม,0.5777,0.0954,2,285
30,ไทยเดนมาร์ค,0.1478,-0.2422,5,299
31,ชง,0.2498,0.1384,4,268
32,อร่อย,0.6493,0.0433,2,351
33,ดื่มนม,-0.1143,-0.0537,5,337
34,นมโค,-0.1535,-0.0544,10,380
35,นมกล่อง,-0.0013,0.0329,4,266
36,นมฟรีแลคโตส,0.1987,0.3098,12,143
37,รสจืด,0.199,-0.0783,5,303
38,ลูก,-0.2825,-0.1401,1,357
39,แลคโตส,-0.3444,0.1401,12,242
40,ลูกหมา,-0.2488,0.5405,3,53
41,นมแพะ,-0.6393,0.2556,10,203
42,น้ำ,-0.0553,-0.182,1,366
43,สารอาหาร,-0.285,0.2231,3,324
44,แพ้,-0.2902,0.0728,1,284
45,โรงเรียน,0.0401,-0.2217,1,243
46,ท้องเสีย,-0.3165,-0.1713,12,286
47,น้ำตาล,-0.0151,0.3151,8,354
48,เอนไซม์,-0.5662,0.2641,12,169
49,กล่อง,0.0482,-0.0505,8,372
50,เท,0.4048,-0.361,2,279
51,เมจิโกลด์,0.1641,0.5609,18,154
52,ชา,0.0355,-0.2723,12,165
53,ดัชมิลล์,0.2997,-0.1945,7,269
54,ชาเย็น,0.7408,0.0171,4,85
55,น้ำผลไม้,-0.3097,-0.244,9,148
56,ลอง,0.31,-0.0786,5,378
57,ผสม,0.139,-0.0101,5,363
58,ราคาถูก,-0.1944,-0.0897,11,197
59,คุณภาพ,-0.2638,-0.947,7,248
60,นมผง,0.0717,-0.0596,5,344
61,แมคโนเลีย,1.1143,0.0096,4,29
62,หาซื้อ,0.2753,0.0582,3,252
63,จิตรลดา,0.4614,-0.1004,14,234
64,ร้านเบเกอรี่,0.8932,-0.7889,5,12
65,มะละกอ,0.2388,0.3224,16,75
66,รสกล้วย,0.8586,0.5303,13,62
67,เมล่อน,0.8457,0.4019,13,56
68,ไม่ชอบ,-0.0547,-0.1084,1,263
69,อาหาร,-0.3869,0.0538,1,386
70,อาหารเสริม,-0.2882,-0.0672,7,210
71,ขับถ่าย,-0.3355,0.121,18,180
72,เหม็น,-0.1954,-0.2811,9,118
73,เวย์โปรตีน,-0.1171,0.5829,3,217
74,แคลเซียม,-0.5663,0.2767,8,313
75,ความสูง,-0.5247,-0.0151,16,120
76,ท้อง,-0.1804,0.2181,1,290
